name	version	license	rust-version
autocfg	1.5.1	Apache-2.0 OR MIT	1.0
bitflags	2.13.2	MIT OR Apache-2.0	1.56.0
cairo-rs	0.20.12	MIT	1.70
cairo-sys-rs	0.20.10	MIT	1.70
cfg-expr	0.20.9	MIT OR Apache-2.0	1.85.0
equivalent	1.0.2	Apache-2.0 OR MIT	1.6
errno	0.3.14	MIT OR Apache-2.0	1.56
field-offset	0.3.6	MIT OR Apache-2.0	UNDECLARED
futures-channel	0.3.34	MIT OR Apache-2.0	1.71
futures-core	0.3.34	MIT OR Apache-2.0	1.36
futures-executor	0.3.34	MIT OR Apache-2.0	1.71
futures-io	0.3.34	MIT OR Apache-2.0	1.36
futures-macro	0.3.34	MIT OR Apache-2.0	1.71
futures-task	0.3.34	MIT OR Apache-2.0	1.71
futures-util	0.3.34	MIT OR Apache-2.0	1.71
gdk-pixbuf	0.20.10	MIT	1.70
gdk-pixbuf-sys	0.20.10	MIT	1.70
gdk4	0.9.6	MIT	1.70
gdk4-sys	0.9.6	MIT	1.70
gio	0.20.12	MIT	1.70
gio-sys	0.20.10	MIT	1.70
glib	0.20.12	MIT	1.70
glib-macros	0.20.12	MIT	1.70
glib-sys	0.20.10	MIT	1.70
gobject-sys	0.20.10	MIT	1.70
graphene-rs	0.20.10	MIT	1.70
graphene-sys	0.20.10	MIT	1.70
gsk4	0.9.6	MIT	1.70
gsk4-sys	0.9.6	MIT	1.70
gtk4	0.9.7	MIT	1.70
gtk4-macros	0.9.5	MIT	1.70
gtk4-sys	0.9.6	MIT	1.70
hashbrown	0.17.1	MIT OR Apache-2.0	1.85.0
heck	0.5.0	MIT OR Apache-2.0	1.56
indexmap	2.14.2	Apache-2.0 OR MIT	1.85
libc	0.2.189	MIT OR Apache-2.0	1.65
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	1.63
memchr	2.8.3	Unlicense OR MIT	1.61
memoffset	0.9.1	MIT	UNDECLARED
pango	0.20.12	MIT	1.70
pango-sys	0.20.10	MIT	1.70
pin-project-lite	0.2.17	Apache-2.0 OR MIT	1.37
pkg-config	0.3.34	MIT OR Apache-2.0	1.63
proc-macro-crate	3.5.0	MIT OR Apache-2.0	1.82.0
proc-macro2	1.0.107	MIT OR Apache-2.0	1.71
quote	1.0.47	MIT OR Apache-2.0	1.71
rustc_version	0.4.1	MIT OR Apache-2.0	1.32
rustix	1.1.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	1.63
semver	1.0.28	MIT OR Apache-2.0	1.68
serde_core	1.0.229	MIT OR Apache-2.0	1.56
serde_derive	1.0.229	MIT OR Apache-2.0	1.71
serde_spanned	1.1.1	MIT OR Apache-2.0	1.85
slab	0.4.12	MIT	1.51
smallvec	1.16.1	MIT OR Apache-2.0	UNDECLARED
syn	2.0.119	MIT OR Apache-2.0	1.71
syn	3.0.5	MIT OR Apache-2.0	1.71
system-deps	7.0.8	MIT OR Apache-2.0	1.78.0
target-lexicon	0.13.5	Apache-2.0 WITH LLVM-exception	UNDECLARED
toml	1.1.6+spec-1.1.0	MIT OR Apache-2.0	1.85
toml_datetime	1.1.1+spec-1.1.0	MIT OR Apache-2.0	1.85
toml_edit	0.25.15+spec-1.1.0	MIT OR Apache-2.0	1.85
toml_parser	1.1.3+spec-1.1.0	MIT OR Apache-2.0	1.85
toml_writer	1.1.2+spec-1.1.0	MIT OR Apache-2.0	1.85
unicode-ident	1.0.24	(MIT OR Apache-2.0) AND Unicode-3.0	1.71
version-compare	0.2.1	MIT	1.56.0
windows-link	0.2.1	MIT OR Apache-2.0	1.71
windows-sys	0.59.0	MIT OR Apache-2.0	1.60
windows-sys	0.61.2	MIT OR Apache-2.0	1.71
windows-targets	0.52.6	MIT OR Apache-2.0	1.56
windows_aarch64_gnullvm	0.52.6	MIT OR Apache-2.0	1.56
windows_aarch64_msvc	0.52.6	MIT OR Apache-2.0	1.56
windows_i686_gnu	0.52.6	MIT OR Apache-2.0	1.56
windows_i686_gnullvm	0.52.6	MIT OR Apache-2.0	1.56
windows_i686_msvc	0.52.6	MIT OR Apache-2.0	1.56
windows_x86_64_gnu	0.52.6	MIT OR Apache-2.0	1.56
windows_x86_64_gnullvm	0.52.6	MIT OR Apache-2.0	1.56
windows_x86_64_msvc	0.52.6	MIT OR Apache-2.0	1.56
winnow	1.0.4	MIT	1.65.0
